"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.874585560E-1,6.699903309E-2,3.349951804E-1,9.718449593E0,9.724452330E0
1.898191810E-1,9.092725813E-2,3.517449200E-1,9.730413437E0,9.737193533E0
1.921798580E-1,5.982056633E-2,3.445664644E-1,9.728020668E0,9.734304837E0
1.945404830E-1,9.810572863E-2,3.230310678E-1,9.739984512E0,9.745833577E0
1.969011600E-1,7.896314561E-2,3.349951804E-1,9.744770050E0,9.750846131E0
1.992617850E-1,6.460621208E-2,3.565305769E-1,9.730413437E0,9.737157371E0
2.016224620E-1,6.939185411E-2,3.541377485E-1,9.730413437E0,9.737102979E0
2.039830870E-1,4.307080805E-2,3.565305769E-1,9.725627899E0,9.732256017E0
2.063437640E-1,7.896314561E-2,3.565305769E-1,9.730413437E0,9.737263213E0
2.087044410E-1,6.221338734E-2,3.349951804E-1,9.725627899E0,9.731594438E0
2.110650660E-1,6.221338734E-2,3.254238665E-1,9.732806206E0,9.738443810E0
2.134256910E-1,4.785645381E-2,3.613162339E-1,9.756733894E0,9.763539110E0
2.157863680E-1,5.024927482E-2,3.493520916E-1,9.730413437E0,9.736812493E0
2.181470450E-1,5.503492057E-2,3.493520916E-1,9.723235130E0,9.729664800E0
2.205076700E-1,7.896314561E-2,3.206382394E-1,9.737591743E0,9.743189263E0
2.228683470E-1,5.742774159E-2,3.230310678E-1,9.732806206E0,9.738334748E0
2.252290240E-1,6.460621208E-2,3.302095234E-1,9.751948357E0,9.757751229E0
2.275896490E-1,5.264209956E-2,3.397808075E-1,9.735198975E0,9.741268976E0
2.299503260E-1,5.503492057E-2,3.397808075E-1,9.744770050E0,9.750847305E0
2.323109510E-1,5.982056633E-2,3.254238665E-1,9.737591743E0,9.743211593E0
2.346716290E-1,8.135596663E-2,3.469592929E-1,9.730413437E0,9.736937157E0
2.370322540E-1,9.092725813E-2,3.517449200E-1,9.749555588E0,9.756322382E0
2.393929310E-1,8.614161611E-2,3.230310678E-1,9.732806206E0,9.738546405E0
2.417536080E-1,6.460621208E-2,3.302095234E-1,9.735198975E0,9.741011825E0
2.441142330E-1,8.614161611E-2,3.421736360E-1,9.732806206E0,9.739200163E0
2.464749100E-1,4.546362907E-2,3.254238665E-1,9.739984512E0,9.745525431E0
2.488355350E-1,5.503492057E-2,3.373879790E-1,9.720842361E0,9.726851274E0
2.511962120E-1,6.699903309E-2,3.278166950E-1,9.742377281E0,9.748121242E0
2.535568370E-1,5.264209956E-2,3.541377485E-1,9.735198975E0,9.741780320E0
2.559175140E-1,7.417750359E-2,3.613162339E-1,9.742377281E0,9.749357251E0
2.582781390E-1,7.657032460E-2,3.637090325E-1,9.720842361E0,9.727945492E0
2.606388160E-1,7.896314561E-2,3.421736360E-1,9.737591743E0,9.743921743E0
2.629994930E-1,7.178468257E-2,3.302095234E-1,9.747162819E0,9.753018732E0
2.653601180E-1,7.178468257E-2,3.421736360E-1,9.704092026E0,9.710388143E0
2.677207950E-1,7.178468257E-2,3.589234054E-1,9.720842361E0,9.727731250E0
2.700814200E-1,4.785645381E-2,3.373879790E-1,9.735198975E0,9.741161120E0
2.724420970E-1,7.896314561E-2,3.326023519E-1,9.747162819E0,9.753155516E0
2.748027740E-1,6.221338734E-2,3.541377485E-1,9.730413437E0,9.737054468E0
2.771633990E-1,4.307080805E-2,3.684946895E-1,9.723235130E0,9.730310624E0
2.795240760E-1,6.939185411E-2,3.517449200E-1,9.735198975E0,9.741798540E0
2.818847010E-1,8.853443712E-2,3.445664644E-1,9.749555588E0,9.756044206E0
2.842453790E-1,5.503492057E-2,3.206382394E-1,9.720842361E0,9.726284694E0
2.866060040E-1,8.853443712E-2,3.278166950E-1,9.747162819E0,9.753075676E0
2.889666810E-1,7.657032460E-2,3.278166950E-1,9.725627899E0,9.731452350E0
2.913273580E-1,3.828516230E-2,3.373879790E-1,9.737591743E0,9.743510115E0
2.936879830E-1,8.135596663E-2,3.349951804E-1,9.754341125E0,9.760430900E0
2.960486600E-1,6.939185411E-2,3.445664644E-1,9.739984512E0,9.746324414E0
2.984092850E-1,4.785645381E-2,3.421736360E-1,9.742377281E0,9.748501840E0
3.007699620E-1,6.460621208E-2,3.589234054E-1,9.720842361E0,9.727680926E0
3.031305870E-1,7.417750359E-2,3.397808075E-1,9.744770050E0,9.750974137E0
3.054912640E-1,3.349951655E-2,3.517449200E-1,9.744770050E0,9.751173777E0
3.078518890E-1,6.221338734E-2,3.613162339E-1,9.749555588E0,9.756446796E0
3.102125660E-1,7.178468257E-2,3.182454109E-1,9.725627899E0,9.731098151E0
3.125732430E-1,7.657032460E-2,3.326023519E-1,9.732806206E0,9.738788630E0
3.149338680E-1,3.589234129E-2,3.302095234E-1,9.706484795E0,9.712166270E0
3.172945450E-1,6.460621208E-2,3.469592929E-1,9.728020668E0,9.734420416E0
3.196551700E-1,7.417750359E-2,3.541377485E-1,9.747162819E0,9.753876094E0
3.220158470E-1,6.939185411E-2,3.326023519E-1,9.754341125E0,9.760256674E0
3.243764720E-1,6.460621208E-2,3.373879790E-1,9.751948357E0,9.757996790E0
3.267371490E-1,5.503492057E-2,3.517449200E-1,9.739984512E0,9.746489195E0
3.290977740E-1,6.460621208E-2,3.541377485E-1,9.742377281E0,9.749025726E0
3.314584510E-1,9.332008660E-2,3.589234054E-1,9.744770050E0,9.751824341E0
3.338191290E-1,5.982056633E-2,3.493520916E-1,9.749555588E0,9.755996082E0
3.361797540E-1,7.417750359E-2,3.469592929E-1,9.723235130E0,9.729706288E0
3.385403790E-1,8.135596663E-2,3.254238665E-1,9.723235130E0,9.729019523E0
3.409010560E-1,1.028913707E-1,3.326023519E-1,9.739984512E0,9.746204864E0
3.432617330E-1,7.417750359E-2,3.397808075E-1,9.735198975E0,9.741409158E0
3.456223580E-1,7.417750359E-2,3.397808075E-1,9.744770050E0,9.750974137E0
3.479830350E-1,7.178468257E-2,3.373879790E-1,9.723235130E0,9.729351730E0
3.503437120E-1,8.614161611E-2,3.349951804E-1,9.728020668E0,9.734168083E0
3.527043370E-1,6.221338734E-2,3.397808075E-1,9.744770050E0,9.750890463E0
3.550650140E-1,6.221338734E-2,3.469592929E-1,9.747162819E0,9.753534450E0
3.574256390E-1,6.221338734E-2,3.326023519E-1,9.742377281E0,9.748251634E0
3.597863160E-1,7.896314561E-2,3.302095234E-1,9.754341125E0,9.760248168E0
3.621469410E-1,9.332008660E-2,3.278166950E-1,9.742377281E0,9.748337679E0
3.645076180E-1,6.939185411E-2,3.373879790E-1,9.725627899E0,9.731725639E0
3.668682950E-1,4.546362907E-2,3.349951804E-1,9.742377281E0,9.748241062E0
3.692289200E-1,5.264209956E-2,3.589234054E-1,9.720842361E0,9.727608823E0
3.715895970E-1,6.939185411E-2,3.469592929E-1,9.725627899E0,9.732062167E0
3.739502220E-1,2.871387079E-2,3.541377485E-1,9.742377281E0,9.748853939E0
3.763108990E-1,5.982056633E-2,3.517449200E-1,9.747162819E0,9.753690892E0
3.786715240E-1,6.221338734E-2,3.421736360E-1,9.725627899E0,9.731844190E0
3.810322010E-1,6.460621208E-2,3.349951804E-1,9.728020668E0,9.734001328E0
3.833928790E-1,6.939185411E-2,3.445664644E-1,9.732806206E0,9.739150780E0
3.857535040E-1,7.178468257E-2,3.302095234E-1,9.742377281E0,9.748236069E0
3.881141810E-1,6.939185411E-2,3.206382394E-1,9.742377281E0,9.747899220E0
3.904748060E-1,6.460621208E-2,3.397808075E-1,9.747162819E0,9.753297287E0
3.928354830E-1,7.417750359E-2,3.421736360E-1,9.742377281E0,9.748666585E0
3.951961080E-1,7.178468257E-2,3.349951804E-1,9.747162819E0,9.753181934E0
3.975567850E-1,6.460621208E-2,3.278166950E-1,9.723235130E0,9.728974208E0
3.999174100E-1,7.178468257E-2,3.326023519E-1,9.742377281E0,9.748317417E0
4.022780870E-1,8.374879509E-2,3.589234054E-1,9.718449593E0,9.725435844E0
4.046387640E-1,6.699903309E-2,3.517449200E-1,9.751948357E0,9.758519873E0
4.069993890E-1,5.024927482E-2,3.326023519E-1,9.739984512E0,9.745791277E0
4.093600660E-1,8.135596663E-2,3.349951804E-1,9.739984512E0,9.746083258E0
4.117206910E-1,5.503492057E-2,3.349951804E-1,9.742377281E0,9.748290399E0
4.140813680E-1,6.460621208E-2,3.254238665E-1,9.749555588E0,9.755199066E0
4.164419930E-1,5.503492057E-2,3.469592929E-1,9.749555588E0,9.755882520E0
4.188026700E-1,7.657032460E-2,3.373879790E-1,9.742377281E0,9.748518285E0
