"event","experiment time","system time","system time text"
"START",0.000000000E0,1786109316.845,"2026-08-07 21:28:36.845 UTC+08:00"
"PAUSE",6.223939050E1,1786109379.085,"2026-08-07 21:29:39.085 UTC+08:00"
