Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),来源批次,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s)
0.017491368,0.06221338734,0.35174492,9.680164337,9.686752634,data1,,,,
0.019852045,0.0382851623,0.342173636,9.653842926,9.659980942,data1,,,,
0.022212722,0.07417750359,0.327816695,9.629914284,9.635777872,data1,,,,
0.024573347,0.06460621208,0.3326023519,9.632308006,9.638265187,data1,,,,
0.026934024,0.06460621208,0.3732803464,9.708877563,9.716265523,data1,,,,
0.029294649,0.06460621208,0.3326023519,9.74477005,9.750658522,data1,,,,
0.031655326,0.0765703246,0.3326023519,9.790233612,9.796180966,data1,,,,
0.034015951,0.0765703246,0.35174492,9.828518867,9.835109081,data1,,,,
0.036376629,0.0933200866,0.3182454109,9.797411919,9.803023466,data1,,,,
0.038737306,0.06699903309,0.3326023519,9.804591179,9.810459795,data1,,,,
0.041097931,0.06939185411,0.3302095234,9.775876999,9.781698455,data1,,,,
0.043458608,0.04785645381,0.3493520916,9.720842361,9.727235647,data1,,,,
0.045819233,0.05264209956,0.3206382394,9.689735413,9.695181919,data1,,,,
0.04817991,0.04307080805,0.3397808075,9.66580677,9.671872963,data1,,,,
0.050540535,0.05982056633,0.327816695,9.658628464,9.664375101,data1,,,,
0.052901212,0.04785645381,0.3589234054,9.689735413,9.696498781,data1,,,,
0.055261889,0.0933200866,0.3254238665,9.72323513,9.729126925,data1,,,,
0.057622514,0.07178468257,0.3302095234,9.754341125,9.760192732,data1,,,,
0.059983191,0.07896314561,0.3302095234,9.77348423,9.77937971,data1,,,,
0.062343816,0.08135596663,0.3349951804,9.780662537,9.786735933,data1,,,,
0.064704493,0.0765703246,0.3349951804,9.783055305,9.789088614,data1,,,,
0.067065118,0.08374879509,0.3469592929,9.759127617,9.765652382,data1,,,,
0.069425795,0.08853443712,0.3158525825,9.737591743,9.743115219,data1,,,,
0.07178642,0.07896314561,0.3254238665,9.725627899,9.73139116,data1,,,,
0.074147097,0.06221338734,0.35174492,9.69452095,9.701099497,data1,,,,
0.076507774,0.05742774159,0.3254238665,9.701699257,9.707325435,data1,,,,
0.078868399,0.0382851623,0.3445664644,9.696913719,9.703109166,data1,,,,
0.081229076,0.05503492057,0.3541377485,9.704092026,9.71070772,data1,,,,
0.083589701,0.06460621208,0.3493520916,9.72323513,9.729723647,data1,,,,
0.085950379,0.0765703246,0.3493520916,9.747162819,9.753722003,data1,,,,
0.088311056,0.08374879509,0.342173636,9.780662537,9.787004461,data1,,,,
0.090671681,0.04307080805,0.3158525825,9.790233612,9.795421998,data1,,,,
0.093032358,0.0765703246,0.337387979,9.766305923,9.77243189,data1,,,,
0.095392983,0.06221338734,0.3541377485,9.754341125,9.760965877,data1,,,,
0.09775366,0.07178468257,0.3589234054,9.71605587,9.72294815,data1,,,,
0.100114285,0.04785645381,0.3708875179,9.69452095,9.701730992,data1,,,,
0.102474962,0.05982056633,0.3493520916,9.718449593,9.724910687,data1,,,,
0.104835639,0.08135596663,0.35174492,9.701699257,9.708414482,data1,,,,
0.107196264,0.06221338734,0.337387979,9.711270332,9.717328471,data1,,,,
0.109556941,0.06699903309,0.327816695,9.735198975,9.740947168,data1,,,,
0.111917566,0.06699903309,0.3062812984,9.747162819,9.75220386,data1,,,,
0.114278243,0.1076770201,0.3397808075,9.759127617,9.7656345,data1,,,,
0.116638868,0.07896314561,0.342173636,9.778269768,9.784573451,data1,,,,
