"event","experiment time","system time","system time text"
"START",0.000000000E0,1786109657.497,"2026-08-07 21:34:17.497 UTC+08:00"
"PAUSE",1.143602729E1,1786109668.933,"2026-08-07 21:34:28.933 UTC+08:00"
