"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.892426110E-1,1.000291109E-2,-2.741255611E-2,1.404988952E-2,3.238681612E-2
1.916032880E-1,8.170315996E-3,-2.924515121E-2,1.343902480E-2,3.320602837E-2
1.939639130E-1,6.948587019E-3,-2.924515121E-2,1.282816008E-2,3.268215754E-2
1.963245900E-1,6.337722298E-3,-3.046688065E-2,1.221729536E-2,3.343142005E-2
1.986852150E-1,5.115992390E-3,-2.802342176E-2,1.099556591E-2,3.053502932E-2
2.010457880E-1,3.283398226E-3,-2.741255611E-2,1.099556591E-2,2.971752692E-2
2.034065170E-1,2.061668551E-3,-2.557996288E-2,9.773836471E-3,2.746111537E-2
2.057671420E-1,8.399390499E-4,-2.619082667E-2,8.552107029E-3,2.756453217E-2
2.081278190E-1,-3.817904799E-4,-2.435823344E-2,6.719512399E-3,2.527095461E-2
2.104884440E-1,-1.603520010E-3,-2.252563834E-2,4.276053514E-3,2.298391378E-2
2.128491210E-1,-7.101302966E-3,-2.191477455E-2,1.221729559E-3,2.306899371E-2
2.152097460E-1,-7.712167688E-3,-1.947131567E-2,1.221729559E-3,2.097861500E-2
2.175704230E-1,-1.015562657E-2,-1.702785492E-2,-6.108647794E-4,1.983576946E-2
2.199310480E-1,-1.198822167E-2,-1.519526169E-2,-1.221729559E-3,1.939345404E-2
2.222916730E-1,-1.382081583E-2,-1.458439697E-2,-3.665188793E-3,2.042432848E-2
2.246523510E-1,-1.748600416E-2,-1.397353224E-2,-4.276053514E-3,2.278825528E-2
2.270129760E-1,-2.054032870E-2,-1.275180187E-2,-6.108647678E-3,2.493650197E-2
2.293736530E-1,-2.237292193E-2,-1.275180187E-2,-6.719512399E-3,2.661405519E-2
2.317342780E-1,-2.420551702E-2,-1.091920771E-2,-7.330377586E-3,2.754760583E-2
2.340949030E-1,-2.542724647E-2,-1.091920771E-2,-7.941242307E-3,2.878953437E-2
2.364555800E-1,-2.481638081E-2,-1.091920771E-2,-7.330377586E-3,2.808587348E-2
2.388162050E-1,-2.359465137E-2,-1.153007243E-2,-7.330377586E-3,2.726507985E-2
2.411768820E-1,-2.359465137E-2,-1.030834299E-2,-9.162971750E-3,2.733001207E-2
2.435375070E-1,-2.298378758E-2,-8.475748822E-3,-9.162971750E-3,2.615440424E-2
2.458981320E-1,-1.992946304E-2,-7.254019380E-3,-9.162971750E-3,2.310334057E-2
2.482588090E-1,-2.115119249E-2,-6.643154658E-3,-9.162971750E-3,2.398884113E-2
2.506194340E-1,-1.687514037E-2,-6.032289471E-3,-9.773836471E-3,2.041290665E-2
2.529801110E-1,-1.809686981E-2,-5.421424750E-3,-1.038470119E-2,2.155761031E-2
2.553407360E-1,-1.748600416E-2,-4.199695308E-3,-1.160643063E-2,2.140343464E-2
2.577014130E-1,-1.687514037E-2,-1.756236190E-3,-9.773836471E-3,1.958015851E-2
2.600620380E-1,-1.320995111E-2,-2.367100911E-3,-1.160643063E-2,1.774303264E-2
2.624226630E-1,-8.933897130E-3,-3.588830587E-3,-1.099556591E-2,1.461494758E-2
2.647833400E-1,-9.544761851E-3,-2.367100911E-3,-9.773836471E-3,1.386483050E-2
2.671439650E-1,-4.657844082E-3,-1.145371469E-3,-9.773836471E-3,1.088739026E-2
2.695046420E-1,-2.214384731E-3,-1.145371469E-3,-1.038470119E-2,1.067976565E-2
2.718652670E-1,2.061668551E-3,-1.145371469E-3,-8.552107029E-3,8.871352075E-3
2.742258920E-1,3.283398226E-3,-1.145371469E-3,-9.162971750E-3,9.800644418E-3
2.765865690E-1,5.726857111E-3,-1.756236190E-3,-9.162971750E-3,1.094720554E-2
